method_glfc, task_size_6, learning_rate_0.1, started_at_20260408_052521
Task: 0, Round: 0 | TrainLoss: 0.3161 | EvalLoss: 3.0211 | Acc: 23.87% | Prec: 11.83% | Rec: 30.28% | F1: 16.22%
Task: 0, Round: 1 | TrainLoss: 0.0992 | EvalLoss: 2.6346 | Acc: 23.92% | Prec: 11.32% | Rec: 30.51% | F1: 15.88%
Task: 0, Round: 2 | TrainLoss: 0.0610 | EvalLoss: 2.3857 | Acc: 24.09% | Prec: 7.17% | Rec: 31.17% | F1: 11.63%
Task: 0, Round: 3 | TrainLoss: 0.0465 | EvalLoss: 2.1933 | Acc: 24.23% | Prec: 7.13% | Rec: 31.74% | F1: 11.57%
Task: 0, Round: 4 | TrainLoss: 0.0381 | EvalLoss: 2.0206 | Acc: 24.32% | Prec: 7.19% | Rec: 32.12% | F1: 11.68%
Task: 0, Round: 5 | TrainLoss: 0.0321 | EvalLoss: 1.8649 | Acc: 24.47% | Prec: 7.15% | Rec: 32.76% | F1: 11.40%
Task: 0, Round: 6 | TrainLoss: 0.0280 | EvalLoss: 1.7302 | Acc: 24.54% | Prec: 9.56% | Rec: 33.01% | F1: 11.46%
Task: 0, Round: 7 | TrainLoss: 0.0250 | EvalLoss: 1.6081 | Acc: 24.59% | Prec: 7.23% | Rec: 33.26% | F1: 11.50%
Task: 0, Round: 8 | TrainLoss: 0.0228 | EvalLoss: 1.4740 | Acc: 38.71% | Prec: 24.76% | Rec: 48.20% | F1: 29.09%
Task: 0, Round: 9 | TrainLoss: 0.0210 | EvalLoss: 1.3514 | Acc: 39.23% | Prec: 40.48% | Rec: 48.75% | F1: 31.51%
Task: 0, Round: 10 | TrainLoss: 0.0197 | EvalLoss: 1.2699 | Acc: 40.04% | Prec: 54.69% | Rec: 49.58% | F1: 34.59%
Task: 0, Round: 11 | TrainLoss: 0.0183 | EvalLoss: 1.1890 | Acc: 42.52% | Prec: 59.42% | Rec: 52.00% | F1: 39.17%
Task: 0, Round: 12 | TrainLoss: 0.0175 | EvalLoss: 1.1398 | Acc: 57.29% | Prec: 62.61% | Rec: 66.34% | F1: 53.30%
Task: 0, Round: 13 | TrainLoss: 0.0165 | EvalLoss: 1.0751 | Acc: 61.38% | Prec: 64.52% | Rec: 68.86% | F1: 58.64%
Task: 0, Round: 14 | TrainLoss: 0.0157 | EvalLoss: 1.0400 | Acc: 83.98% | Prec: 73.15% | Rec: 82.78% | F1: 76.65%
Task: 1, Round: 15 | TrainLoss: 0.1094 | EvalLoss: 2.1037 | Acc: 30.52% | Prec: 15.30% | Rec: 25.01% | F1: 15.37%
Task: 1, Round: 16 | TrainLoss: 0.1061 | EvalLoss: 2.0241 | Acc: 30.53% | Prec: 19.89% | Rec: 25.05% | F1: 14.11%
Task: 1, Round: 17 | TrainLoss: 0.1025 | EvalLoss: 1.9402 | Acc: 30.25% | Prec: 25.83% | Rec: 24.89% | F1: 13.32%
Task: 1, Round: 18 | TrainLoss: 0.1001 | EvalLoss: 1.8898 | Acc: 30.20% | Prec: 25.81% | Rec: 24.86% | F1: 13.23%
Task: 1, Round: 19 | TrainLoss: 0.0984 | EvalLoss: 1.8523 | Acc: 30.16% | Prec: 25.78% | Rec: 24.82% | F1: 13.17%
Task: 1, Round: 20 | TrainLoss: 0.0972 | EvalLoss: 1.8296 | Acc: 30.15% | Prec: 25.77% | Rec: 24.81% | F1: 13.16%
Task: 1, Round: 21 | TrainLoss: 0.0964 | EvalLoss: 1.8079 | Acc: 30.17% | Prec: 25.77% | Rec: 24.83% | F1: 13.18%
Task: 1, Round: 22 | TrainLoss: 0.0957 | EvalLoss: 1.7945 | Acc: 30.17% | Prec: 25.76% | Rec: 24.83% | F1: 13.17%
Task: 1, Round: 23 | TrainLoss: 0.0951 | EvalLoss: 1.7813 | Acc: 30.19% | Prec: 25.36% | Rec: 24.84% | F1: 13.18%
