method_glfc, task_size_6, learning_rate_0.1, started_at_20260407_143526
Task: 0, Round: 0 | TrainLoss: 0.1635 | EvalLoss: 2.6689 | Acc: 24.22% | Prec: 7.03% | Rec: 31.72% | F1: 11.17%
Task: 0, Round: 1 | TrainLoss: 0.0338 | EvalLoss: 2.2937 | Acc: 24.35% | Prec: 7.09% | Rec: 32.23% | F1: 11.28%
Task: 0, Round: 2 | TrainLoss: 0.0199 | EvalLoss: 1.9816 | Acc: 24.56% | Prec: 7.49% | Rec: 33.12% | F1: 12.17%
Task: 0, Round: 3 | TrainLoss: 0.0145 | EvalLoss: 1.6994 | Acc: 24.61% | Prec: 7.69% | Rec: 33.28% | F1: 12.46%
Task: 0, Round: 4 | TrainLoss: 0.0116 | EvalLoss: 1.5081 | Acc: 24.62% | Prec: 12.17% | Rec: 33.31% | F1: 17.50%
Task: 0, Round: 5 | TrainLoss: 0.0098 | EvalLoss: 1.3379 | Acc: 39.96% | Prec: 23.36% | Rec: 49.57% | F1: 31.33%
Task: 0, Round: 6 | TrainLoss: 0.0086 | EvalLoss: 1.2557 | Acc: 40.08% | Prec: 30.92% | Rec: 49.70% | F1: 34.93%
Task: 0, Round: 7 | TrainLoss: 0.0076 | EvalLoss: 1.1400 | Acc: 40.86% | Prec: 33.31% | Rec: 50.46% | F1: 39.39%
Task: 0, Round: 8 | TrainLoss: 0.0070 | EvalLoss: 1.0465 | Acc: 56.76% | Prec: 46.60% | Rec: 65.91% | F1: 52.82%
Task: 0, Round: 9 | TrainLoss: 0.0065 | EvalLoss: 1.0175 | Acc: 57.44% | Prec: 46.82% | Rec: 66.59% | F1: 53.13%
Task: 0, Round: 10 | TrainLoss: 0.0110 | EvalLoss: 0.8921 | Acc: 57.54% | Prec: 64.23% | Rec: 66.64% | F1: 53.60%
Task: 0, Round: 11 | TrainLoss: 0.0060 | EvalLoss: 0.9327 | Acc: 57.44% | Prec: 47.60% | Rec: 66.58% | F1: 53.51%
